time_iso,mode,fps,visibility_ok,num_dets,top_objects,hint,center_cost,corridor_zones,last_speech
2026-02-08T22:29:08,street,134.7,1,1,person:very close:center,forward,,0,P1:person approaching in front. | P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you.
2026-02-08T22:29:08,street,137.8,1,1,person:very close:center,forward,,0,P1:person approaching in front. | P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you.
2026-02-09T10:38:40,street,0.0,1,2,person:very close:center; obstacle:close:center,forward,,0,
2026-02-09T10:38:40,street,0.0,1,1,person:very close:center,forward,,0,P0:Warning. person very close in front of you.
2026-02-09T10:38:41,street,63.8,1,2,person:very close:center; obstacle:close:center,forward,,0,P0:Warning. person very close in front of you.
2026-02-09T10:38:41,street,63.8,1,1,person:very close:center,forward,,0,P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you. obstacle close in front of you.
2026-02-09T10:38:42,street,76.6,1,1,person:very close:center,forward,,0,P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you. obstacle close in front of you.
2026-02-09T10:38:42,street,76.6,1,1,person:very close:center,forward,,0,P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you. obstacle close in front of you.
2026-02-09T10:38:43,street,137.6,1,1,person:very close:center,forward,,0,P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you. obstacle close in front of you.
2026-02-09T10:38:43,street,137.6,1,1,person:very close:center,forward,,0,P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you. obstacle close in front of you.
2026-02-09T10:38:44,street,141.0,1,1,person:very close:center,forward,,0,P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you. obstacle close in front of you.
2026-02-09T10:38:44,street,141.0,1,1,person:very close:center,forward,,0,P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you. obstacle close in front of you.
2026-02-09T10:38:45,street,130.4,1,1,person:very close:center,forward,,0,P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you. obstacle close in front of you.
2026-02-09T10:38:46,street,130.4,1,1,person:very close:center,forward,,0,P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you. obstacle close in front of you.
2026-02-09T10:38:46,street,123.4,1,1,person:very close:center,forward,,0,P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you. obstacle close in front of you.
2026-02-09T10:38:47,street,123.4,1,1,person:very close:center,forward,,0,P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you. obstacle close in front of you.
2026-02-09T10:38:47,street,154.6,1,1,person:very close:center,forward,,0,P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you. obstacle close in front of you.
2026-02-09T10:38:48,street,154.6,1,1,person:very close:center,forward,,0,P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you. obstacle close in front of you. | P0:Warning. person very close in front of you.
2026-02-09T10:38:48,street,64.8,1,1,person:very close:center,forward,,0,P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you. obstacle close in front of you. | P0:Warning. person very close in front of you.
2026-02-09T10:38:49,street,64.8,1,1,person:very close:center,forward,,0,P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you. obstacle close in front of you. | P0:Warning. person very close in front of you.
2026-02-09T10:38:49,street,154.8,1,1,person:very close:center,forward,,0,P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you. obstacle close in front of you. | P0:Warning. person very close in front of you.
2026-02-09T10:38:50,street,154.8,1,1,person:very close:center,forward,,0,P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you. obstacle close in front of you. | P0:Warning. person very close in front of you.
2026-02-09T10:38:50,street,157.9,1,1,person:very close:center,forward,,0,P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you. obstacle close in front of you. | P0:Warning. person very close in front of you.
2026-02-09T10:38:51,street,157.9,1,2,person:very close:center; obstacle:close:center,forward,,0,P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you. obstacle close in front of you. | P0:Warning. person very close in front of you.
2026-02-09T10:38:51,street,155.9,1,1,person:very close:center,forward,,0,P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you. obstacle close in front of you. | P0:Warning. person very close in front of you.
2026-02-09T10:38:52,street,155.9,1,1,person:very close:center,forward,,0,P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you. obstacle close in front of you. | P0:Warning. person very close in front of you.
2026-02-09T10:38:52,street,154.1,1,1,person:very close:center,forward,,0,P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you. obstacle close in front of you. | P0:Warning. person very close in front of you.
2026-02-09T10:38:53,street,154.1,1,1,person:very close:center,forward,,0,P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you. obstacle close in front of you. | P0:Warning. person very close in front of you.
2026-02-09T10:38:53,street,155.9,1,1,person:very close:center,forward,,0,P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you. obstacle close in front of you. | P0:Warning. person very close in front of you.
2026-02-09T10:38:54,street,155.9,1,2,person:very close:center; obstacle:close:center,forward,,0,P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you. obstacle close in front of you. | P0:Warning. person very close in front of you.
2026-02-09T10:38:54,street,158.0,1,2,person:very close:center; obstacle:close:center,forward,,0,P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you. obstacle close in front of you.
2026-02-09T10:38:55,street,133.6,1,1,person:very close:center,forward,,0,P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you. obstacle close in front of you.
2026-02-09T10:38:55,street,133.6,1,1,person:very close:center,forward,,0,P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you. obstacle close in front of you.
2026-02-09T10:38:56,street,157.5,1,1,person:very close:center,forward,,0,P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you. obstacle close in front of you.
2026-02-09T10:38:56,street,157.5,1,1,person:very close:center,forward,,0,P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you. obstacle close in front of you.
2026-02-09T10:38:57,street,151.8,1,1,person:very close:center,forward,,0,P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you. obstacle close in front of you.
2026-02-09T10:38:57,street,151.8,1,1,person:very close:center,forward,,0,P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you. obstacle close in front of you.
2026-02-09T10:38:58,street,156.4,1,1,person:very close:center,forward,,0,P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you. obstacle close in front of you.
2026-02-09T10:38:58,street,156.4,1,1,person:very close:center,forward,,0,P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you. obstacle close in front of you.
2026-02-09T10:38:59,street,152.6,1,1,person:very close:center,forward,,0,P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you. obstacle close in front of you.
2026-02-09T10:38:59,street,152.6,1,1,person:very close:center,forward,,0,P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you. obstacle close in front of you.
2026-02-09T10:39:00,street,147.7,1,1,person:very close:center,forward,,0,P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you. obstacle close in front of you.
